object_id,id_p,id_c,cod_via,nome_rua,ponto_referencia,freguesia,situacao,implantacao,global_id,lon,lat,location
023,023,438,67365,Avenida Columbano Bordalo Pinheiro,Praça de Espanha,Campolide,Em operação,Definida,be461d5e-8524-44e0-920b-7c31b9561ea3,-9.15942085473107,38.738000000607,0101000020E61000009ABD3A9C9F5122C00C87B5C8765E4340
056,056,437,67365,Avenida Columbano Bordalo Pinheiro,NaN,São Domingos de Benfica,Em operação,Definida,174b7599-4481-4b53-a3bd-3864dfc7242f,-9.16664534911622,38.7394530580377,0101000020E610000026F8088A525522C07C99D665A65E4340
230,230,237,100264,Praça das Indústrias,Centro de Congressos de Lisboa,Alcântara,Em operação,Definida,a8977efe-7c41-43b6-b85b-430865252b06,-9.18225222662203,38.699052821769,0101000020E6100000FAEDF129505D22C052D617907A594340
235,235,232,887,Avenida da Índia,Cruzamento com Rua Lagoa Henriques,Belém,Em operação,Definida,f73b32f9-9b88-43a3-8c98-9e6aed330655,-9.21206110955562,38.6941480010022,0101000020E6100000F8961446936C22C0B17179D7D9584340
236,236,231,1126,Largo Luís Alves Miguel,Cruzamento com Rua Fernão Mendes Pinto,Belém,Em operação,Definida,d4915647-898f-425b-b572-744ab36607ed,-9.21971885497573,38.6953171364557,0101000020E6100000E3DE60FD7E7022C07AB6E42600594340
252,252,553,764,Rua Luís Pastor de Macedo,Estação ML Quinta das Conchas,Lumiar,Em operação,Definida,162e5e99-fd5a-42c2-a642-a0ba58d8e656,-9.15538085212979,38.7671011871052,0101000020E6100000E5A43C148E4F22C078AB275F30624340
303,303,511,67186,Avenida do Uruguai,NaN,Benfica,Em operação,Definida,d51bf373-8cf4-4f84-8c60-7b24e48e9292,-9.19641359090913,38.7538820923531,0101000020E6100000A7E37A52906422C02BD959357F604340
304,304,513,67171,Rua Guiomar Torresão,NaN,Carnide,Em operação,Definida,d042ab19-8236-4b8b-ac00-04aaddb691ca,-9.19220876543279,38.758626634379,0101000020E6100000A513F32F696222C0244474AD1A614340
249,249,130,62,Avenida de Berlim,Cruzamento com Rua Américo de Jesus Fernandes,Olivais,Em operação,Definida,151d39e0-2443-4141-925c-5acb174a353e,-9.10698283931031,38.7677741543396,0101000020E61000005B246874C63622C023CD696C46624340
312,312,238,34777,Rua Cascais,Cruzamento com Avenida da Índia,Alcântara,Em operação,Definida,509a2fe9-76ea-48ea-90b9-0a50e1705ade,-9.17522233254492,38.7028965627869,0101000020E6100000589ED7BDB65922C0FDD1BA83F8594340
319,319,241,913,Avenida da Torre de Belém,Cruzamento com Largo da Princesa,Belém,Em operação,Definida,b5fe71ab-7279-4581-986c-31f08caa22ca,-9.21513665621231,38.6952356702516,0101000020E610000091344D64266E22C0235F817BFD584340
409,409,289,102284,Rua Fernanda Montemor,Parque Ribeirinho Oriente,Marvila,Em operação,Definida,8e47854a-e04d-4035-9a5f-b4d9b504b6a3,-9.09820461286209,38.7452855376427,0101000020E6100000381E01E0473222C0B82D3984655F4340
410,410,288,575,Praça David Leandro da Silva,NaN,Marvila,Em operação,Definida,85aa8d40-ad18-4482-b64c-2500862eb2a5,-9.10235532320116,38.7424396443141,0101000020E6100000E470BBEA673422C09ECA2343085F4340
073,073,450,66816,Rua Alfredo Cortês,Escola EB1 do Bairro de São Miguel,Alvalade,Em operação,Definida,81c94953-449d-4eeb-b47c-1aa352f28778,-9.14404295204052,38.7462817814047,0101000020E6100000777770FFBF4922C0ED5D5229865F4340
