id,district_id,district_name,locality,municipality_id,municipality_name,operational_status,region_id,region_name,stop_id,lat,lon,location
160549,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160549,38.522722,-8.958784,0101000020E61000002BDB87BCE5EA21C02A73F38DE8424340
160550,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160550,38.522574,-8.958719,0101000020E61000008F1B7E37DDEA21C0B5DE6FB4E3424340
160551,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160551,38.520913,-8.963743,0101000020E6100000737FF5B86FED21C0D787F546AD424340
160552,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160552,38.520804,-8.963524,0101000020E61000007CD2890453ED21C020D099B4A9424340
160553,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160553,38.518447,-8.968927,0101000020E61000003C6C223317F021C0CBDAA6785C424340
160555,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160555,38.517781,-8.981228,0101000020E6100000C7D6338463F621C0BEBED6A546424340
160556,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160556,38.517801,-8.980973,0101000020E61000009D84D21742F621C0056B9C4D47424340
160557,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160557,38.527891,-8.986405,0101000020E6100000C5387F130AF921C0266DAAEE91434340
160559,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160559,38.525451,-8.991369,0101000020E61000005589B2B794FB21C0435376FA41434340
160560,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160560,38.525399,-8.991264,0101000020E61000007F677BF486FB21C0F12C414640434340
160561,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160561,38.524154,-8.994053,0101000020E61000003BFBCA83F4FC21C0A708707A17434340
160562,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160562,38.524239,-8.993607,0101000020E61000004227840EBAFC21C0D52478431A434340
160563,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160563,38.524009,-8.998219,0101000020E6100000DD7D8E8F16FF21C0A3E716BA12434340
160564,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160564,38.524037,-8.997442,0101000020E61000004C50C3B7B0FE21C06D72F8A413434340
160565,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160565,38.527075,-9.001863,0101000020E61000001825E82FF40022C005C58F3177434340
160566,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160566,38.5274,-9.00201,0101000020E6100000A9876874070122C088F4DBD781434340
