OBJECTID,COD_SIG,IDTIPO,NOME,SITUACAO,LINHA,GlobalID,lon,lat
1,35,9008,Cais do Sodré,Linha existente,Verde,5755ed38-fbb3-4302-86d7-dbbe7aa85374,-9.14620795021712,38.7061150810876
2,34,9008,Terreiro do Paço,Linha existente,Azul,81a30260-ad00-4753-a220-66a22bf8fbb8,-9.13420238756193,38.7071293396142
3,33,9008,Baixa Chiado,Linha existente,Azul/Verde,bb7176f2-bb23-41d7-a3da-18c47f6cebec,-9.14015060636417,38.7105700699041
4,37,9008,Santa Apolónia,Linha existente,Azul,ebc54f51-0b77-4b54-94c0-adfe4efde182,-9.1223340184811,38.7139242126512
5,43,9008,Rossio,Linha existente,Verde,6ccf250a-385a-4eaa-be5f-b25ef4c8c088,-9.13788558416029,38.7140387351334
6,42,9008,Restauradores,Linha existente,Azul,f9b25433-5ec0-4edb-9df9-0c2df9671960,-9.14211755877668,38.7159224068044
7,36,9008,Martim Moniz,Linha existente,Verde,0d928c70-1040-413f-ba93-b68776f2e428,-9.13573782228017,38.7177019399986
8,32,9008,Avenida,Linha existente,Azul,71871d6e-b787-437d-a3b7-069c398f83b3,-9.14515188409429,38.7194025351094
9,45,9008,Rato,Linha existente,Amarela,376c4cf7-a775-408f-af04-0e3335a44930,-9.15468780091093,38.7201575166883
10,31,9008,Intendente,Linha existente,Verde,bf1d9527-2dcb-44d4-878a-3c6015cb6265,-9.13518490808126,38.7232980404134
11,23,9008,Marquês de Pombal,Linha existente,Azul/Amarela,76e9658e-0c4f-4b88-a31a-d39d02ff848c,-9.14974636758321,38.724638955043
12,30,9008,Anjos,Linha existente,Verde,67338be7-b9e8-4a11-a6bc-c45d072200d0,-9.13480023096576,38.7271578246524
13,22,9008,Parque,Linha existente,Azul,90ea1abc-1c05-4e5b-951a-c941c30a6c51,-9.15014123306272,38.7289458895159
14,21,9008,Picoas,Linha existente,Amarela,d76654cd-ec7b-494e-b290-57df3603cbf3,-9.14688282452403,38.7304084282427
15,29,9008,Arroios,Linha existente,Verde,7f7c9a71-5a1d-47a4-8b13-9ba0e753de78,-9.13423033340514,38.7328456373345
16,19,9008,São Sebastião,Linha existente,Azul/Vermelha,ada980fa-01bc-439b-83c0-13edd27e2a62,-9.15392287316945,38.7343970331662
17,20,9008,Saldanha,Linha existente,Amarela/Vermelha,b69f2f8c-3967-4eb8-b5c2-c9d51f9f7482,-9.14528831383823,38.7351689051228
18,18,9008,Alameda,Linha existente,Verde/Vermelha,63d5bf60-b8ea-4b44-8e68-2fd4df02247e,-9.13380942489798,38.7370549729502
19,24,9008,Praça de Espanha,Linha existente,Azul,f5124e32-7f72-4c60-8b6f-29cd80a74f17,-9.15925422094947,38.7377491106506
20,12,9008,Olaias,Linha existente,Vermelha,dc139a41-8421-4a76-a006-7ef284d15e5b,-9.1230025209179,38.7401729590514
21,17,9008,Campo Pequeno,Linha existente,Amarela,216edadc-4540-4572-812e-7bb8edb45756,-9.14668409480334,38.740929476453
22,25,9008,Jardim Zoológico,Linha existente,Azul,fd7ea8cf-8d88-4c2a-a285-b71df8ec73b1,-9.16866629861376,38.741639206018
23,13,9008,Areeiro,Linha existente,Verde,996448bb-a684-4d0f-a1e4-46ffa8516edb,-9.13345548142175,38.7424454415358
24,16,9008,Entre Campos,Linha existente,Amarela,cc8bafa8-3670-4c77-a52c-d2a31c106816,-9.1482146104718,38.7471334577605
25,11,9008,Bela Vista,Linha existente,Vermelha,0539ab45-593b-4c70-b939-b8045588c840,-9.11762369396806,38.7477357859286
26,14,9008,Roma,Linha existente,Verde,2c3f7254-c7c9-4176-a9d8-596a8b09b0a9,-9.14134526152344,38.7482228024879
27,26,9008,Laranjeiras,Linha existente,Azul,32c7ca7a-00c5-451c-a427-72674a26cf65,-9.17258176533351,38.7487507528713
28,28,9008,Alto dos Moinhos,Linha existente,Azul,31966370-a22e-4841-9e72-7c3b602b39c6,-9.18006654807824,38.7499445388444
29,27,9008,Cidade Universitária,Linha existente,Amarela,3faf4611-417d-4dda-a2f6-6ebd305fef1f,-9.15912398203189,38.7515984207662
30,48,9008,Reboleira,Linha existente,Azul,38d37020-608f-4691-abb7-12b12256aa57,-9.22388329579027,38.7522712870587
31,15,9008,Alvalade,Linha existente,Verde,80b43007-18ae-402a-bc36-29afd2b89ea6,-9.14400029637591,38.7531730686722
32,39,9008,Colégio Militar,Linha existente,Azul,3b03ab96-acba-4d6f-932f-924e1987105e,-9.18930499007435,38.753441421465
33,10,9008,Chelas,Linha existente,Vermelha,d96e728d-bdee-4bbe-9f9e-bee54c7267d8,-9.11393068105765,38.7549149532346
34,41,9008,Amadora Este,Linha existente,Azul,319a15e3-3905-4e90-b195-d6d51b84803f,-9.21790161747948,38.7587158590108
35,44,9008,Carnide,Linha existente,Azul,62ea4ebf-7d8f-4a66-b5f8-b5b306416f73,-9.19262713345253,38.759168109099
36,3,9008,Campo Grande,Linha existente,Amarela/Verde,9ee57970-1417-4ae2-8c98-95d2413ca627,-9.1578896614592,38.7602165259205
37,4,9008,Telheiras,Linha existente,Verde,2aae2ecb-5406-481e-83db-9be919a20fe7,-9.16644430726784,38.7599634337851
38,9,9008,Olivais,Linha existente,Vermelha,163cc423-fe29-46e6-bf28-51d7138980ac,-9.11176892689733,38.7609221401764
39,40,9008,Alfornelos,Linha existente,Azul,48587adc-1e2b-42e9-9867-dc2dbbbbd135,-9.20447747862651,38.7605071106029
40,38,9008,Pontinha,Linha existente,Azul,1b0eb3ce-6925-4e90-9acd-4c004302e9d3,-9.19686363917219,38.7622502213567
41,8,9008,Cabo Ruivo,Linha existente,Vermelha,9cb3ecba-99f4-4b20-a97f-197911258143,-9.10511478609739,38.7629641453917
42,2,9008,Quinta das Conchas,Linha existente,Amarela,f23b8866-86a8-4645-b4ba-a0df8d99487f,-9.15555480778863,38.7674892706787
43,7,9008,Oriente,Linha existente,Vermelha,9570ac33-83a2-4ad1-b7c1-beac1110fb39,-9.0998135518355,38.7679599444634
44,49,9008,Aeroporto,Linha existente,Vermelha,dfcb0bc1-e55a-4694-8732-801462b121fa,-9.12820311123166,38.7683794008583
45,46,9008,Lumiar,Linha existente,Amarela,ba683c73-e3bd-4a54-902d-d4602438b2f1,-9.159288760681,38.7732843374556
46,50,9008,Encarnação,Linha existente,Vermelha,fbd76b14-0590-441d-b327-f72cc1fe9184,-9.11537495212044,38.7750679264104
47,47,9008,Moscavide,Linha existente,Vermelha,002c091f-5438-4fbb-8bf0-c37c68c47e40,-9.10300158883893,38.7749214790169
48,1,9008,Ameixoeira,Linha existente,Amarela,dfdbac22-c12d-47a4-9364-94f75dcbc390,-9.15952318236053,38.7795364143671
49,6,9008,Senhor Roubado,Linha existente,Amarela,bb007d8e-2d5c-42a6-8905-1fb2c8f29510,-9.17189570290375,38.785776294755
50,5,9008,Odivelas,Linha existente,Amarela,374d1e67-3448-4bed-b89b-3a40d1d824b5,-9.17319799147843,38.7935139056005
