OBJECTID,ID_P,ID_C,COD_VIA,NOME_RUA,N_POLICIA,PONTO_REFERENCIA,FREGUESIA,SITUACAO,IMPLANTACAO,N_DOCAS,TIPO_ESTACAO,ENTIDADE,DESIGNACAO_PROJETO,LOCALIZACAO_INSTALACAO,TIPOLOGIA_ESTACIONAMENTO,N_LUGARES_OCUPADOS,COD_SIG,IDTIPO,DCOMERCIAL,CP7,NIP,CPE,INSTALADOR,DATA_INICIO,DATA_FIM,GlobalID,lon,lat
134,173,135,33640,Avenida Cidade de Lourenço Marques,,Mercado Olivais Sul,Olivais,Em operação,Definida,20,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,173,9310,Avenida Cidade de Lourenço Marques / Vale do Silêncio,,12008342,PT0002000200125544ZV,Meo/Soltrafego,"Fri, 06 Aug 2021 00:00:00 GMT",,ad11a0ad-d00d-4c29-b715-6c66ba3c2d5a,-9.11867969889906,38.7640936441876
135,172,134,33664,Praça Cidade do Luso,Lote 207,,Olivais,Em operação,Definida,20,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,3,172,9310,Praça Cidade do Luso,,12005841,PT0002000200092015ME,Meo/Soltrafego,"Thu, 29 Jul 2021 00:00:00 GMT",,7ee69d7a-d386-41eb-8081-f007e52f3c2f,-9.11635352708278,38.7656041510363
136,171,137,33487,Rua Cidade de Bissau,Lote 12,Spacio Shopping,Olivais,Em operação,Definida,33,Dupla,DMM/EMEL,Rede Ciclável,Passeio,,,171,9310,Spacio Shopping,,12019679,PT0002000200229769SY,Meo/Soltrafego,"Thu, 10 Feb 2022 00:00:00 GMT",,87220d1e-2c21-4213-a28a-c8fb639cf55b,-9.11428205767107,38.7628734708481
137,178,131,33536,Praça Baden Powell,6,Cruzamento com Avenida de Berlim,Olivais,Em operação,Definida,21,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,178,9310,Avenida de Berlim / Praça Baden Powell,,12018895,PT0002000200217165LY,Meo/Soltrafego,"Thu, 29 Jul 2021 00:00:00 GMT",,8065f99c-7145-4e41-ba8b-f7a0afc7643e,-9.11055904837182,38.768055667523
138,174,132,62,Avenida de Berlim,,Junto à Rua Cidade de Cabinda,Olivais,Em operação,Definida,25,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,174,9310,Avenida de Berlim / Rua Cidade de Cabinda,,12005546,PT0002000200083468WP,Meo/Soltrafego,"Thu, 29 Jul 2021 00:00:00 GMT",,71c899d3-7130-4226-9536-7243e99f4bec,-9.11258121137696,38.7683283530597
139,168,366,67029,Rua Marquês de Fronteira,,Palácio da Justiça,Campolide,Em operação,Definida,30,Simples,DMM/EMEL,,Passeio,,,168,9310,Palácio da Justiça de Lisboa,,12018893,PT0002000200217143HF ,Yunex/Siemens,"Wed, 04 May 2022 00:00:00 GMT",,b496adf9-8dbb-4486-8dd9-08c7073bde9a,-9.15646917504373,38.7311325845172
140,166,364,67404,Rua Dom Francisco Manuel de Melo,44,,Avenidas Novas,Em operação,Definida,14,Simples,DMM/EMEL,,Estacionamento,Paralelo,3,166,9310,Rua Dom Francisco Manuel de Melo / Rua Artilharia 1,,12051337,PT0002000200666144JW,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,bbaca128-c0f2-4be1-a120-128f8962f427,-9.15937614728124,38.7282132009783
141,165,363,67333,Rua de Campolide,53,,Campolide,Em operação,Definida,14,Simples,DMM/EMEL,,Passeio,,,165,9310,Rua de Campolide / Rua Marquês da Fronteira,,12056526,PT0002000200738267CC,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,a58e7f0a-da54-4c2f-850b-9e6218efbdfa,-9.16225010776713,38.7271182715591
142,167,365,34284,Rua Castilho,,Jardim Amália Rodrigues,Avenidas Novas,Em operação,Definida,30,Simples,DMM/EMEL,,Passeio,,,167,9310,,,12019675,PT0002000200229736JL ,Yunex/Siemens,"Wed, 04 May 2022 00:00:00 GMT",,ad8f32a3-c9a1-4406-a3af-eda715e19f4f,-9.15744649117053,38.7296383522612
143,164,362,100006,Avenida Engenheiro Duarte Pacheco,21B,,Santo António,Em operação,Definida,40,Simples,DMM/EMEL,,Passeio,,,164,9310,Avenida Eng. Duarte Pacheco,,12046091,PT0002000200613392LN,Yunex/Siemens,"Wed, 04 May 2022 00:00:00 GMT",,ee87b213-de97-492b-bb1a-c9c5ddd9dd1d,-9.15948240296937,38.7243683626586
145,163,361,100059,Rua Carlos Alberto da Mota Pinto,,Centro Comercial Amoreiras,Campo de Ourique,Em operação,Definida,31,Dupla,DMM/EMEL,,Passeio,,,163,9310,Amoreiras Shopping Center,,12057706,PT0002000200772298MB,Yunex/Siemens,"Wed, 04 May 2022 00:00:00 GMT",,558cea6c-ccb0-4e09-9dfa-8a10c74b9757,-9.1609503891665,38.7239213808528
147,227,352,35099,Rua Tomás da Anunciação,43,Jardim Teófilo Braga,Campo de Ourique,Em operação,Definida,17,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,4,227,9310,Rua Tomás da Anunciação / Rua Almeida e Sousa,,12052317,PT0002000200708402XD,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,dd8adc1c-670c-499c-8070-68f28ecd15e7,-9.16563740149928,38.71724750112
152,208,508,67269,Rua da Venezuela,,Estação ferroviária Benfica,Benfica,Em operação,Definida,23,Dupla,DMM/EMEL,Rede Ciclável,Passeio,,,208,9310,Estação de Comboios de Benfica,,12046826,PT0002000200590541ST,Yunex/Siemens,,,1f6b1ee3-56c5-4f28-9663-3aa95d6b3a97,-9.19999397454533,38.7447084036525
154,202,502,67467,Rua de São Domingos de Benfica,,Cruzamento com Rua Francisco Gentil Martins,São Domingos de Benfica,Em operação,Definida,16,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,202,9310,Rua São Domingos de Benfica / Rua Francisco Gentil Martins,,,,Yunex/Siemens,,,6cb38e8e-a074-4ba1-9505-6b5d565db02c,-9.17628836578175,38.7414766337759
156,206,506,67235,Rua Ten. Coronel Ribeiro dos Reis,7,,Benfica,Em operação,Definida,17,Simples,DMM/EMEL,Rede Ciclável,Outro,,,206,9310,Rua Tenente Coronel Reibeiro dos Reis / Rua Conde de Almoster,,12052818,PT0002000200688138AP,Yunex/Siemens,,,b587f6ee-d12f-433f-875c-db8689cb6137,-9.19002502231166,38.7452536213957
157,207,507,67265,Rua José dos Santos Pereira,1,,Benfica,Em operação,Definida,17,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,207,9310,Rua José dos Santos Pereira / Rua Conde de Almoster,,12046825,PT0002000200590539ZK,Yunex/Siemens,,,68e2f088-b1c5-4416-a068-4ae0f5fa478b,-9.19298307749876,38.744727715334
158,203,503,67464,Rua Conde de Almoster,36,,São Domingos de Benfica,Em operação,Definida,12,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,203,9310,Rua Conde de Almoster / Rua Carlos Pereira,,12179401,PT0002000202070365RG,Yunex/Siemens,,,4d967f97-3520-4a8d-bdf6-7c21039618a6,-9.17876290345165,38.7426430571184
161,218,521,34628,Azinhaga dos Ulmeiros,24,Cruzamento com Alameda Mahatma Gandhi,Lumiar,Em operação,Definida,22,Simples,DMM/EMEL,,Estacionamento,Paralelo,3,218,9310,Rua César de Oliveira / Rua Fernando Lopes Graça,,12056536,PT0002000200738405AC,Yunex/Siemens,,,e7f863eb-5b4f-4b45-b7e9-3984081bbee9,-9.17397490367725,38.7690458897035
162,121,226,33928,Rua dos Fanqueiros,193,,Santa Maria Maior,Em operação,Definida,13,Simples,DMM/EMEL,,Estacionamento,Paralelo,3,121,9310,Rua dos Fanqueiros / Rua da Assunção,,12032807,PT0002000200416072LD,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,1d7a7d88-de62-41ad-b8e7-5c01e4196650,-9.13647195077599,38.7119289916471
163,122,221,34139,Rua do Crucifixo,47,Cruzamento com Rua de São Nicolau,Santa Maria Maior,Em operação,Definida,15,Simples,DMM/EMEL,,Estacionamento,Paralelo,3,122,9310,Rua do Crucifixo / Rua São Nicolau,,12012514,PT0002000200143626HK,Meo/Soltrafego,"Fri, 25 Feb 2022 00:00:00 GMT",,06c33967-a517-4ad8-bec0-fd008a0c71f7,-9.13884445988946,38.7101181916712
177,209,509,66879,Estrada de Benfica,,Fonte Nova,Benfica,Em operação,Definida,17,Simples,DMM/EMEL,,Passeio,,,209,9310,Centro Comercial Fonte Nova,,12027725,PT0002000200368678MH,Yunex/Siemens,,,d59ee39e-118e-4c74-b4af-94826489ad8a,-9.19000298366118,38.7489283218835
178,210,510,100536,Largo da Revista Militar,,Interface Colégio Militar,Benfica,Em operação,Definida,17,Simples,DMM/EMEL,,Passeio,,,210,9310,Largo da Revista Militar / Avenida do Colégio Militar,,12052318,PT0002000200708413XC,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,ad0a17bf-ba8d-41cb-bb7b-696ec4585e99,-9.18912155514503,38.7529128240273
179,211,514,67176,Avenida do Colégio Militar,153B,Cruzamento com Rua Adelaide Cabete,Carnide,Em operação,Definida,17,Simples,DMM/EMEL,,Passeio,,,211,9310,Avenida do Colégio Militar / Rua Adelaide Cabete,,12027724,PT0002000200368667MF,Yunex/Siemens,,,5555a574-1401-45a0-ae8e-870301f30227,-9.18557500787776,38.7573694860509
181,213,520,101788,Rua Cupertino de Miranda,,LISPOLIS,Carnide,Em operação,Definida,23,Dupla,DMM/EMEL,,Passeio,,,213,9310,Lispolis,,12068923,PT0002000200932042GC,Yunex/Siemens,,,0ac897f2-0a45-4379-83fa-c8434f30ea35,-9.18256234214254,38.7669894986494
182,214,517,34654,Rua Padre Américo,28,,Carnide,Em operação,Definida,19,Simples,DMM/EMEL,,Passeio,,,214,9310,Rua Padre Américo,,12046090,PT0002000200613381LR,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,9407983e-e7ac-4154-b449-62eff9c79799,-9.18038740703141,38.7634198266274
183,215,518,286,Avenida das Nações Unidas,21,,Carnide,Em operação,Definida,20,Simples,DMM/EMEL,,Passeio,,,215,9310,Avenida das Nações Unidas / Azinhaga da Torre do Fato,,12038482,PT0002000200471799GF,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,d2a2aed8-253d-4dd9-8722-720212aa3bf0,-9.17800455641889,38.7640887722142
184,216,516,100563,Rua Prof. Mário de Albuquerque,,,Lumiar,Em operação,Definida,16,Simples,DMM/EMEL,,Estacionamento,Paralelo,2,216,9310,Rua Prof. Carlos Teixeira / Rua Prof. Simões Raposo,,12046088,PT0002000200613368HB,Yunex/Siemens,,,ad939e3c-4200-4ffe-8c67-7bc7a12297ba,-9.17483140133947,38.7621574512315
185,217,519,266,Rua Prof. Pulido Valente,,Cruzamento com Rua Prof. Mário Chicó,Lumiar,Em operação,Definida,25,Simples,DMM/EMEL,,Passeio,,,217,9310,Rua Professor Pulido Valente/Rua Professor Mário Chicó,,12068922,PT0002000200932031GD,Yunex/Siemens,"Wed, 13 Jul 2022 00:00:00 GMT",,31cdb205-a951-4ddc-a0b6-30def288f121,-9.16907433629318,38.7632193420528
188,023,438,67365,Avenida Columbano Bordalo Pinheiro,,Praça de Espanha,Campolide,Em operação,Definida,22,Simples,DMM/EMEL,Praça de Espanha - Rede Viária,Passeio,,,023,9310,Avenida Colombano Bordalo Pinheiro / Praça de Espanha,,,,Yunex/Siemens,,,be461d5e-8524-44e0-920b-7c31b9561ea3,-9.15942085473107,38.738000000607
189,056,437,67365,Avenida Columbano Bordalo Pinheiro,108,,São Domingos de Benfica,Em operação,Definida,17,Simples,DMM/EMEL,,Estacionamento,,,056,9310,Avenida Columbano Bordalo Pinheiro / Rua de Campolide,,12046296,PT000200020061561RM,Yunex/Siemens,,,174b7599-4481-4b53-a3bd-3864dfc7242f,-9.16664534911622,38.7394530580377
196,230,237,100264,Praça das Indústrias,,Centro de Congressos de Lisboa,Alcântara,Em operação,Definida,30,Simples,DMM/EMEL,Rede Ciclável,Outro,,,230,9310,Avenida da Índia / Praça das Indústrias,,12057206,PT0002000200745901FH,Yunex/Siemens,,,a8977efe-7c41-43b6-b85b-430865252b06,-9.18225222662203,38.699052821769
199,235,232,887,Avenida da Índia,170,Cruzamento com Rua Lagoa Henriques,Belém,Em operação,Definida,22,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,235,9310,Avenida da Índia / Centro de Arqueologia de Lisboa,,12055886,PT0002000200762396BE,Yunex/Siemens,,,f73b32f9-9b88-43a3-8c98-9e6aed330655,-9.21206110955562,38.6941480010022
200,236,231,1126,Largo Luís Alves Miguel,,Cruzamento com Rua Fernão Mendes Pinto,Belém,Em operação,Definida,11,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,236,9310,Largo Luís Alves Miguel / Rua Fernão Mendes Pinto,,12040843,PT0002000200520243VJ,Yunex/Siemens,,,d4915647-898f-425b-b572-744ab36607ed,-9.21971885497573,38.6953171364557
210,252,553,764,Rua Luís Pastor de Macedo,26,Estação ML Quinta das Conchas,Lumiar,Em operação,Definida,12,Simples,DMM/EMEL,,Passeio,,,252,9310,Rua Tobis Portuguesa,,12046094,PT0002000200613426KT,Meo/Soltrafego,"Thu, 14 Apr 2022 00:00:00 GMT",,162e5e99-fd5a-42c2-a642-a0ba58d8e656,-9.15538085212979,38.7671011871052
212,303,511,67186,Avenida do Uruguai,43,,Benfica,Em operação,Definida,27,Dupla,DMM/EMEL,Rede Ciclável,Passeio,,,303,9310,Avenida do Uruguai ,,12068918,PT0002000200903975AJ,Yunex/Siemens,,,d51bf373-8cf4-4f84-8c60-7b24e48e9292,-9.19641359090913,38.7538820923531
213,304,513,67171,Rua Guiomar Torresão,,,Carnide,Em operação,Definida,20,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Perpendicular,7,304,9310,Rua Guiomar Torresão / Metro de Carnide,,12047319,PT0002000200620523FJ,Yunex/Siemens,,,d042ab19-8236-4b8b-ac00-04aaddb691ca,-9.19220876543279,38.758626634379
219,249,130,62,Avenida de Berlim,21,Cruzamento com Rua Américo de Jesus Fernandes,Olivais,Em operação,Definida,20,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,249,9310,Avenida Berlim / Rua Américo Jesus Fernandes,,12012055,PT0002000200157668PX,Meo/Soltrafego,"Fri, 25 Feb 2022 00:00:00 GMT",,151d39e0-2443-4141-925c-5acb174a353e,-9.10698283931031,38.7677741543396
227,312,238,34777,Rua Cascais,1,Cruzamento com Avenida da Índia,Alcântara,Em operação,Definida,23,Simples,DMM/EMEL,,Estacionamento,Perpendicular,7,312,9310,Rua de Cascais / Alcântara Terra,,12046083,PT0002000200613073MS,Yunex/Siemens,,,509a2fe9-76ea-48ea-90b9-0a50e1705ade,-9.17522233254492,38.7028965627869
236,319,241,913,Avenida da Torre de Belém,,Cruzamento com Largo da Princesa,Belém,Em operação,Definida,11,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,319,9310,Avenida Torre de Belém / Largo da Princesa,,12067330,PT0002000200881238GT,Yunex/Siemens,,,b5fe71ab-7279-4581-986c-31f08caa22ca,-9.21513665621231,38.6952356702516
243,409,289,102284,Rua Fernanda Montemor,3,Parque Ribeirinho Oriente,Marvila,Em operação,Definida,26,Simples,DMM/EMEL,,,,,409,9310,,,,,,,,8e47854a-e04d-4035-9a5f-b4d9b504b6a3,-9.09820461286209,38.7452855376427
244,410,288,575,Praça David Leandro da Silva,23,,Marvila,Em operação,Definida,22,Simples,DMM/EMEL,,,,,410,9310,,,,,,,,85aa8d40-ad18-4482-b64c-2500862eb2a5,-9.10235532320116,38.7424396443141
246,073,450,66816,Rua Alfredo Cortês,,Escola EB1 do Bairro de São Miguel,Alvalade,Em operação,Definida,10,Simples,EMEL,,Estacionamento,Paralelo,2,073,9310,,,,,,,,81c94953-449d-4eeb-b47c-1aa352f28778,-9.14404295204052,38.7462817814047
247,408,280,462,Avenida Infante Dom Henrique,,Hub Criativo do Beato,Beato,Em operação,Definida,16,Simples,DMM/EMEL,,Passeio,,,408,9310,,,,,,,,e4f94500-8b4e-4dab-a7b8-5e0f844b041a,-9.10669163411535,38.7297850419045
248,407,331,653,Avenida General Roçadas,,Mercado Sapadores,Penha de França,Em operação,Definida,18,Simples,DMM/EMEL,,,,,407,9310,,,,,,,,216627d4-4f1e-4155-b9a5-ce9632d091cd,-9.12882334099546,38.722610711475
252,404,324,705,Largo Mendonça e Costa,8,,Penha de França,Em operação,Definida,12,Simples,DMM/EMEL,,,,,404,9310,,,,,,,,cfb6d0ac-2a81-4745-95c7-eec97ef12b53,-9.13080304320245,38.7330105637666
257,416,220,33670,Rua do Comércio,97,,Santa Maria Maior,Em operação,Definida,20,Simples,DMM/EMEL,,Estacionamento,Paralelo,4,416,9310,Rua Comércio / Rua Augusta,,12018524,PT0002000200234608HS,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,89bf9cba-f4af-4405-8e84-3cdb64750e45,-9.13716544312755,38.7087565581726
260,417,512,500003,Rua Interior à Est. da Correia,,Interface Pontinha,Carnide,Em operação,Definida,31,Dupla,DMM/DEPM,,,,,417,9310,,,,,,,,b5368f05-69a2-4d4b-8ad1-32a9b6f05c6d,-9.19676858070261,38.7625912798103
261,064,479,102181,Rua Prof. Oliveira Marques,,Arquivo Nacional Torre do Tombo,Alvalade,Em operação,Definida,13,Simples,DMM/EMEL,,Estacionamento,Perpendicular,6,064,9310,,,,,,,,b9db3b4f-500e-4d3f-8a5f-48e8f1976eb1,-9.15726777238918,38.7548856279852
321,418,281,462,Avenida Infante Dom Henrique,,Hub Criativo do Beato,Beato,Em operação,Definida,26,,EMEL,,,,,436,9310,,,,,,,,1016d5df-ea32-47f6-892d-4e0c4445cb31,-9.10538772426173,38.7314987273032
549,085,426,67002,Avenida Elias Garcia,86,,Avenidas Novas,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,,085,9310,,,,,,,,d421b9a8-c948-47ca-a630-bc70750f6208,-9.14795677500555,38.7391086461315
550,034,427,66803,Avenida da República,45B,,Avenidas Novas,Em operação,Definida,12,Simples,EMEL,,Passeio,,,034,9310,,,,,,,,0fc8aa03-f97f-4fdf-b1f2-9812737e5f46,-9.14613041756282,38.7380033047032
551,044,431,67024,Rua do Arco do Cego,,Cruzamento com Avenida Magalhães Lima,Avenidas Novas,Em operação,Definida,14,Simples,EMEL,,Passeio,,,044,9310,,,,,,,,a4cd89a0-7611-456d-8c54-7d080aac0fff,-9.14209839739526,38.7393415928382
552,038,430,67001,Avenida Barbosa du Bocage,,Jardim Maria José Moura - Palácio Galveias ,Avenidas Novas,Em operação,Definida,20,Simples,EMEL,,Estacionamento,Paralelo,,038,9310,,,,,,,,8b9496f1-bc3b-4695-8b6b-33b711da7b7b,-9.14331918420278,38.7408689983409
553,003,435,67372,Rua Professor Lima Basto,,Interface Sete Rios,São Domingos de Benfica,Em operação,Definida,43,Simples,DMM/EMEL,Rede Ciclável,Passeio,,,003,9310,Interface de Sete Rios,,12053455,PT0002000200724431VF,Yunex/Siemens,,,63916d7e-6d42-4547-a125-95d5da1d4f09,-9.16698665482294,38.7405272775491
554,015,456,100031,Campo Grande,,Jardim do Campo Grande - Rotunda de Entrecampos,Alvalade,Em operação,Definida,41,Simples,EMEL,,Passeio,,,015,9310,,,,,,,,a5d9e8c8-2c5d-4b43-8e67-2879171f8aa4,-9.1488239634614,38.7488497005796
555,069,461,101784,Rua Prof.ª Teresa Ambrósio,,IGOT-UL,Alvalade,Em operação,Definida,32,Simples,EMEL,,Estacionamento,Paralelo,,069,9310,,,,,,,,0a1f17b1-d7b3-491c-a225-0448873944ab,-9.15561784608326,38.7491816453836
556,039,462,100031,Campo Grande,37,Biblioteca Nacional de Portugal,Alvalade,Em operação,Definida,29,Simples,EMEL,,Estacionamento,Paralelo,5,039,9310,,,,,,,,bcb58185-adee-4bd4-b092-c93890577371,-9.15026533141761,38.7502333824724
557,081,464,66707,Avenida da Igreja,61,Cruzamento com Rua Afonso Lopes Vieira,Alvalade,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,3,081,9310,,,,,,,,27db8d4b-2b27-496f-b262-8371d8b69972,-9.14836277251881,38.7516112247348
560,078,460,66706,Avenida do Rio de Janeiro,,Academia INATEL,Alvalade,Em operação,Definida,15,Simples,EMEL,,Estacionamento,Espinha,4,078,9310,,,,,,,,efa9c03b-4ede-457b-bf68-f2f845bed5d6,-9.13756956432756,38.7517782753248
